Rank	Citation	Before	Hit	After	
1	B of M Alma 48:13	firm   in   the	faith	of   christ   and	
2	B of M Hel. 15:8	steadfast   in   the	faith	and   in   the	
3	B of M 3 Ne. 27:19	because   of   their	faith	and   the   repentance	
4	B of M Moro. 6:4	finisher   of   their	faith	and   the   church	
5	B of M Mosiah 21:30	of   god   and	faith	on   the   words	
6	B of M Ether 12:15	it   was   the	faith	of   ammon   and	
7	B of M Ether 12:13	it   was   the	faith	of   alma   and	
8	B of M Ether 12:14	it   was   the	faith	of   nephi   and	
9	B of M Alma 48:16	this   was   the	faith	of   moroni   and	
10	B of M 2 Ne. 30:11	his   loins   and	faithfulness	the   girdle   of	
11	B of M 2 Ne. 21:5	his   loins   and	faithfulness	the   girdle   of	
12	B of M Alma 14:15	were   of   thy	faith	mormon   and   the	
13	B of M Alma 14:16	the   order   and	faith	of   nehor   who	
14	B of M 3 Ne. 27:19	sins   and   their	faithfulness	unto   the   end	
15	B of M 1 Ne. 16:29	according   to   the	faith	and   diligence   which	
16	B of M 1 Ne. 16:28	according   to   the	faith	and   diligence   and	
17	B of M Enos 1:14	to   the   true	faith	and   they   swore	
18	B of M 3 Ne. 6:14	unto   the   true	faith	and   they   would	
19	B of M Moro. 7:26	name   and   by	faith	they   become   the	
20	B of M Ether 12:20	had   obtained   by	faith	and   after   the	
21	B of M Hel. 13:6	be   repentance   and	faith	on   the   lord	
22	B of M Mosiah 3:12	through   repentance   and	faith	on   the   lord	
23	B of M Mosiah 18:20	were   repentance   and	faith	on   the   lord	
24	B of M Alma 37:33	them   repentance   and	faith	on   the   lord	
25	B of M Mosiah 25:15	people   repentance   and	faith	on   the   lord	
26	B of M Mosiah 3:21	through   repentance   and	faith	on   the   name	
27	B of M Mosiah 18:7	and   redemption   and	faith	on   the   lord	
28	B of M Alma 13:18	having   exercised   mighty	faith	and   received   the	
29	B of M Hel. 15:9	because   of   their	faith	in   christ   and	
30	B of M Alma 25:16	to   strengthen   their	faith	in   christ   and	
31	B of M Alma 58:40	continually   and   their	faith	is   strong   in	
32	B of M Moro. 7:25	began   to   exercise	faith	in   christ   and	
33	B of M Moro. 7:34	name   and   have	faith	in   me   that	
34	B of M 2 Ne. 33:7	people   and   great	faith	in   christ   that	
35	B of M Moro. 7:28	those   who   have	faith	in   him   and	
36	B of M Ether 12:27	me   and   have	faith	in   me   then	
37	B of M Alma 31:38	he   prayed   in	faith	mormon   and   it	
38	B of M Mosiah 25:22	were   repentance   and	faith	in   god   and	
39	B of M Moro. 9:25	my   son   be	faithful	in   christ   and	
40	B of M Alma 44:3	religion   and   our	faith	in   christ   and	
41	B of M 2 Ne. 33:3	my   god   in	faith	and   i   know	
42	B of M Hel. 10:5	in   deed   in	faith	and   in   works	
43	B of M 3 Ne. 19:28	because   of   their	faith	and   i   pray	
44	B of M Alma 13:10	of   their   exceeding	faith	and   repentance   and	
45	B of M Alma 60:26	of   their   exceeding	faith	and   their   patience	
46	B of M Alma 13:3	of   their   exceeding	faith	and   good   works	
47	B of M Alma 9:20	desires   and   their	faith	and   prayers   of	
48	B of M 3 Ne. 17:20	because   of   your	faith	and   now   behold	
49	B of M Jacob 1:5	for   because   of	faith	and   great   anxiety	
50	B of M Alma 38:3	because   of   thy	faithfulness	and   thy   diligence	
51	B of M Enos 1:12	because   of   thy	faith	enos   and   now	
52	B of M Ether 12:19	an   eye   of	faith	and   they   were	
53	B of M Alma 32:43	rewards   of   your	faith	and   your   diligence	
54	B of M Alma 5:15	an   eye   of	faith	and   view   this	
55	B of M Moro. 7:30	them   of   strong	faith	and   a   firm	
56	B of M 3 Ne. 1:30	as   to   their	faith	and   righteousness   because	
57	B of M Alma 12:30	according   to   their	faith	and   repentance   and	
58	B of M Morm. 9:37	according   to   their	faith	and   may   god	
59	B of M Jarom 1:4	according   to   their	faith	and   now   behold	
60	B of M Mosiah 27:14	according   to   their	faith	and   now   behold	
61	B of M 2 Ne. 27:23	according   to   their	faith	nephi₁   and   again	
62	B of M 3 Ne. 26:9	to   try   their	faith	and   if   it	
63	B of M Alma 37:41	to   exercise   their	faith	and   diligence   and	
64	B of M Alma 33:1	to   exercise   their	faith	and   alma   said	
65	B of M Mosiah 26:4	as   to   their	faith	and   remained   so	
66	B of M 2 Ne. 3:19	i   know   their	faith	and   they   shall	
67	B of M Mosiah 24:16	great   was   their	faith	and   their   patience	
68	B of M Alma 22:14	their   sins   through	faith	and   repentance   and	
69	B of M Mosiah 27:33	church   confirming   their	faith	and   exhorting   them	
70	B of M Ether 12:17	until   after   their	faith	and   neither   at	
71	B of M Mosiah 23:21	patience   and   their	faith	nevertheless   whosoever   putteth	
72	B of M Alma 34:3	exhorted   you   unto	faith	and   to   patience	
73	B of M Alma 7:27	according   to   your	faith	and   good   works	
74	B of M Alma 18:35	according   to   my	faith	and   desires   which	
75	B of M Hel. 6:4	exhort   them   to	faith	and   repentance   yea	
76	B of M 1 Ne. 7:12	let   us   be	faithful	to   him   and	
77	B of M Moro. 10:11	another   exceedingly   great	faith	and   to   another	
78	B of M 1 Ne. 17:15	my   brethren   to	faithfulness	and   diligence   and	
79	B of M Ether 12:28	unto   them   that	faith	hope   and   charity	
80	B of M Alma 7:24	that   ye   have	faith	hope   and   charity	
81	B of M 2 Ne. 31:15	are   true   and	faithful	he   that   endureth	
82	B of M Alma 34:15	they   may   have	faith	unto   repentance   and	
83	B of M Alma 38:2	steadiness   and   your	faithfulness	unto   god   for	
84	B of M 2 Ne. 2:28	commandments   and   be	faithful	unto   his   words	
85	B of M Hel. 15:7	unto   repentance   which	faith	and   repentance   bringeth	
86	B of M Alma 44:4	as   we   are	faithful	unto   him   and	
87	B of M Jacob 4:11	unto   god   having	faith	and   obtained   a	
88	B of M Alma 58:11	unto   us   great	faith	and   did   cause	
89	B of M Alma 44:4	and   unto   our	faith	and   our   religion	
90	B of M 1 Ne. 2:1	thou   hast   been	faithful	and   declared   unto	
91	B of M Alma 32:34	thing   and   your	faith	is   dormant   and	
92	B of M Moro. 7:44	if   so   his	faith	and   hope   is	
93	B of M Moro. 7:43	he   cannot   have	faith	and   hope   save	
94	B of M Jarom 1:4	stiffnecked   and   have	faith	have   communion   with	
95	B of M Moro. 7:25	and   thus   by	faith	they   did   lay	
96	B of M Alma 33:23	it   by   your	faith	and   behold   it	
97	B of M Ether 12:31	after   they   had	faith	and   did   speak	
98	B of M 3 Ne. 1:6	joy   and   your	faith	concerning   this   thing	
99	B of M Alma 32:42	diligence   and   your	faith	and   your   patience	
100	B of M Alma 39:1	thy   brother   his	faithfulness	and   his   diligence	
101	B of M Moro. 10:20	there   must   be	faith	and   if   there	
102	B of M Ether 3:19	and   he   had	faith	no   longer   for	
103	B of M Jacob 3:1	him   with   exceeding	faith	and   he   will	
104	B of M Moro. 7:1	he   spake   concerning	faith	hope   and   charity	
105	B of M Enos 1:16	and   i   had	faith	and   i   did	
106	B of M Jacob 4:6	hope   and   our	faith	becometh   unshaken   insomuch	
107	B of M Alma 44:4	and   deny   our	faith	and   now   zerahemnah	
108	B of M Mosiah 18:21	eye   having   one	faith	and   one   baptism	
109	B of M Moro. 7:38	ceased   then   has	faith	ceased   also   and	
110	B of M Alma 26:22	repenteth   and   exerciseth	faith	and   bringeth   forth	
111	B of M 1 Ne. 12:10	because   of   their	faith	in   the   lamb	
112	B of M 3 Ne. 1:11	because   of   their	faith	in   the   tradition	
113	B of M Mosiah 26:16	of   their   exceeding	faith	in   the   words	
114	B of M Mosiah 4:11	steadfastly   in   the	faith	of   that   which	
115	B of M Hel. 3:35	firmer   in   the	faith	of   christ   unto	
116	B of M Mosiah 4:30	continue   in   the	faith	of   what   ye	
117	B of M Alma 46:41	died   in   the	faith	of   christ   are	
118	B of M Alma 27:27	firm   in   the	faith	of   christ   even	
119	B of M Alma 46:27	fast   in   the	faith	of   christ   mormon	
120	B of M Jarom 1:7	men   in   the	faith	of   the   lord	
121	B of M Mosiah 26:15	of   thy   exceeding	faith	in   the   words	
122	B of M Alma 18:2	learned   of   the	faithfulness	of   ammon   in	
123	B of M 2 Ne. 3:21	strong   in   their	faith	unto   the   remembering	
124	B of M Alma 61:17	according   to   the	faith	which   is   in	
125	B of M Alma 45:17	fast   in   the	faith	from   that   time	
126	B of M Enos 1:20	unto   the   true	faith	in   god   but	
