Rank	Citation	Before	Hit	After	
1	B of M Moro. 5:2	the   name   of   thy   son	jesus	christ   to   bless   and   sanctify	
2	B of M Moro. 4:3	the   name   of   thy   son	jesus	christ   to   bless   and   sanctify	
3	B of M Morm. 9:12	the   son   and   because   of	jesus	christ   came   the   redemption   of	
4	B of M Morm. 9:12	the   fall   of   man   came	jesus	christ   even   the   father   and	
5	B of M Mosiah 3:8	and   he   shall   be   called	jesus	christ   the   son   of   god	
6	B of M Alma 9:28	the   power   and   deliverance   of	jesus	christ   and   if   they   have	
7	B of M Morm. 9:5	god   and   the   holiness   of	jesus	christ   it   will   kindle   a	
8	B of M 3 Ne. 30:1	and   hear   the   words   of	jesus	christ   the   son   of   the	
9	B of M 2 Ne. 30:5	jews   and   the   gospel   of	jesus	christ   shall   be   declared   among	
10	B of M Moro. 3:3	and   remission   of   sins   through	jesus	christ   by   the   endurance   of	
11	B of M Alma 4:14	and   power   and   deliverance   of	jesus	christ   from   the   bands   of	
12	B of M 3 Ne. 27:1	that   as   the   disciples   of	jesus	were   journeying   and   were   preaching	
13	B of M 3 Ne. 19:7	also   in   the   name   of	jesus	and   it   came   to   pass	
14	B of M 3 Ne. 7:20	people   in   the   name   of	jesus	and   it   came   to   pass	
15	B of M Moro. 6:6	in   remembrance   of   the   lord	jesus	and   they   were   strict   to	
16	B of M 3 Ne. 7:10	the   prophets   who   testified   of	jesus	and   it   came   to   pass	
17	B of M 4 Ne. 1:13	wrought   among   the   disciples   of	jesus	and   it   came   to   pass	
18	B of M 3 Ne. 28:34	hearken   unto   the   words   of	jesus	and   also   to   them   whom	
19	B of M Morm. 1:15	knew   of   the   goodness   of	jesus	and   i   did   endeavor   to	
20	B of M 3 Ne. 28:23	according   to   the   word   of	jesus	and   now   i   mormon   make	
21	B of M Ether 12:41	commend   you   to   seek   this	jesus	of   whom   the   prophets   and	
22	B of M 3 Ne. 7:19	and   in   the   name   of	jesus	did   he   cast   out   devils	
23	B of M 4 Ne. 1:1	baptized   in   the   name   of	jesus	and   they   did   also   receive	
24	B of M 3 Ne. 19:8	father   in   the   name   of	jesus	and   they   did   pray   for	
