Rank	Citation	Before	Hit	After	
1	B of M Alma 55:16	his   men   with   weapons   of	war	and   he   went   to   the	
2	B of M Alma 43:3	to   an   account   of   the	wars	between   the   nephites   and   the	
3	B of M Alma 62:16	take   up   their   weapons   of	war	against   the   nephites   and   when	
4	B of M Alma 52:36	delivered   up   their   weapons   of	war	and   the   remainder   of   them	
5	B of M Alma 45:21	for   behold   because   of   their	wars	with   the   lamanites   and   the	
6	B of M Hel.	account   of   the   nephites   their	wars	and   contentions   and   their   dissensions	
7	B of M Hel. 3:14	of   the   nephites   and   their	wars	and   contentions   and   dissensions   and	
8	B of M Alma	people   of   nephi   and   their	wars	and   dissensions   in   the   days	
9	B of M Alma 43:17	and   the   government   of   their	wars	and   he   was   only   twenty	
10	B of M Alma 24:19	they   buried   the   weapons   of	war	for   peace   and   it   came	
11	B of M Alma 43:18	all   manner   of   weapons   of	war	and   when   the   armies   of	
12	B of M Alma 55:16	and   cast   in   weapons   of	war	unto   the   prisoners   insomuch   that	
13	B of M Alma 44:10	sword   and   the   weapons   of	war	which   he   had   received   unto	
14	B of M Jarom 1:8	the   ground   and   weapons   of	war	yea   the   sharp   pointed   arrow	
15	B of M Alma 44:20	he   took   the   weapons   of	war	from   the   lamanites   and   after	
16	B of M Jarom 1:13	away   after   the   manner   of	wars	and   contentions   and   dissensions   for	
17	B of M 1 Ne. 12:3	away   after   the   manner   of	wars	and   contentions   in   the   land	
18	B of M 1 Ne. 19:4	a   greater   account   of   the	wars	and   contentions   and   destructions   of	
19	B of M Alma	of   the   judges   and   the	wars	and   contentions   among   the   people	
20	B of M 1 Ne. 9:4	of   the   kings   and   the	wars	and   contentions   of   my   people	
21	B of M 1 Ne. 9:4	of   the   kings   and   the	wars	and   contentions   of   my   people	
22	B of M Alma 28:9	is   the   account   of   the	wars	and   contentions   among   the   nephites	
23	B of M Ether 13:16	in   all   the   arts   of	war	and   all   the   cunning   of	
24	B of M 1 Ne. 14:16	be   wars   and   rumors   of	wars	among   all   the   nations   which	
25	B of M 1 Ne. 14:15	were   wars   and   rumors   of	wars	among   all   the   nations   and	
26	B of M Ether 7:27	and   there   were   no   more	wars	in   the   days   of   shule	
27	B of M Ether 10:15	years   and   he   did   make	war	against   the   king   of   the	
28	B of M Alma	also   an   account   of   a	war	between   the   nephites   and   the	
29	B of M Omni 1:24	of   king   benjamin   a   serious	war	and   much   bloodshed   between   the	
30	B of M Alma 55:24	he   took   them   prisoners   of	war	and   took   possession   of   the	
31	B of M Alma 62:35	of   this   great   and   lasting	war	between   them   and   the   lamanites	
32	B of M Alma 62:41	exceedingly   great   length   of   the	war	between   the   nephites   and   the	
33	B of M Alma 62:35	the   cause   of   so   much	war	and   bloodshed   yea   and   so	
34	B of M 3 Ne. 2:17	of   the   fourteenth   year   the	war	between   the   robbers   and   the	
35	B of M 1 Ne. 12:2	beheld   wars   and   rumors   of	wars	and   great   slaughters   with   the	
36	B of M Alma 62:41	exceedingly   great   length   of   the	war	and   many   were   softened   because	
37	B of M Morm. 8:8	knoweth   the   end   of   the	war	and   now   behold   i   say	
38	B of M 1 Ne. 12:2	the   other   and   i   beheld	wars	and   rumors   of   wars   and	
39	B of M 2 Ne. 25:12	have   wars   and   rumors   of	wars	and   when   the   day   cometh	
